id,sku,product_name,warehouse_code,sale_date,quantity_sold,unit_price,revenue
39,SKU-IND-901,High-Precision Ball Bearing Set,WH-FRA-01,2026-08-28,39,45.00,1755.00
40,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-DXB-01,2026-08-28,14,210.00,2940.00
41,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-FRA-01,2026-08-27,6,12.00,72.00
42,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-NYC-01,2026-08-27,19,24.50,465.50
43,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-FRA-01,2026-08-27,18,9.99,179.82
44,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-DXB-01,2026-08-27,25,7.50,187.50
45,SKU-PHA-505,Digital Infrared Thermometer,WH-SIN-01,2026-08-27,41,39.99,1639.59
46,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-DXB-01,2026-08-27,14,129.99,1819.86
47,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-FRA-01,2026-08-27,20,34.99,699.80
48,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-FRA-01,2026-08-27,24,59.99,1439.76
49,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-DXB-01,2026-08-27,25,349.99,8749.75
50,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-SIN-01,2026-08-27,22,89.99,1979.78
51,SKU-FMCG-701,Organic Almond Milk 1L,WH-DXB-01,2026-08-27,20,4.50,90.00
52,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-DXB-01,2026-08-27,17,16.99,288.83
53,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-FRA-01,2026-08-27,40,13.50,540.00
54,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-DXB-01,2026-08-27,36,5.25,189.00
55,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-FRA-01,2026-08-27,9,3.49,31.41
56,SKU-APP-801,Performance Running Shoes Men Size 10,WH-NYC-01,2026-08-27,37,110.00,4070.00
57,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-NYC-01,2026-08-27,25,12.99,324.75
58,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-NYC-01,2026-08-27,41,125.00,5125.00
59,SKU-IND-901,High-Precision Ball Bearing Set,WH-LON-01,2026-08-27,44,45.00,1980.00
60,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-SIN-01,2026-08-27,39,210.00,8190.00
61,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-SIN-01,2026-08-26,36,12.00,432.00
62,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-NYC-01,2026-08-26,24,24.50,588.00
63,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-FRA-01,2026-08-26,24,9.99,239.76
64,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-DXB-01,2026-08-26,27,7.50,202.50
65,SKU-PHA-505,Digital Infrared Thermometer,WH-DXB-01,2026-08-26,8,39.99,319.92
66,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-LON-01,2026-08-26,30,129.99,3899.70
67,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-NYC-01,2026-08-26,11,34.99,384.89
68,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-LON-01,2026-08-26,7,59.99,419.93
69,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-NYC-01,2026-08-26,43,349.99,15049.57
70,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-NYC-01,2026-08-26,10,89.99,899.90
71,SKU-FMCG-701,Organic Almond Milk 1L,WH-LON-01,2026-08-26,24,4.50,108.00
72,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-DXB-01,2026-08-26,10,16.99,169.90
73,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-FRA-01,2026-08-26,37,13.50,499.50
74,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-DXB-01,2026-08-26,30,5.25,157.50
75,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-LON-01,2026-08-26,30,3.49,104.70
76,SKU-APP-801,Performance Running Shoes Men Size 10,WH-NYC-01,2026-08-26,32,110.00,3520.00
77,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-NYC-01,2026-08-26,17,12.99,220.83
78,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-DXB-01,2026-08-26,7,125.00,875.00
79,SKU-IND-901,High-Precision Ball Bearing Set,WH-FRA-01,2026-08-26,15,45.00,675.00
80,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-LON-01,2026-08-26,31,210.00,6510.00
81,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-DXB-01,2026-08-25,26,12.00,312.00
82,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-NYC-01,2026-08-25,11,24.50,269.50
83,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-FRA-01,2026-08-25,7,9.99,69.93
84,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-LON-01,2026-08-25,12,7.50,90.00
85,SKU-PHA-505,Digital Infrared Thermometer,WH-FRA-01,2026-08-25,27,39.99,1079.73
86,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-DXB-01,2026-08-25,16,129.99,2079.84
87,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-FRA-01,2026-08-25,30,34.99,1049.70
88,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-FRA-01,2026-08-25,44,59.99,2639.56
89,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-NYC-01,2026-08-25,20,349.99,6999.80
90,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-FRA-01,2026-08-25,42,89.99,3779.58
91,SKU-FMCG-701,Organic Almond Milk 1L,WH-NYC-01,2026-08-25,44,4.50,198.00
92,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-SIN-01,2026-08-25,40,16.99,679.60
93,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-SIN-01,2026-08-25,11,13.50,148.50
94,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-FRA-01,2026-08-25,28,5.25,147.00
95,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-FRA-01,2026-08-25,14,3.49,48.86
96,SKU-APP-801,Performance Running Shoes Men Size 10,WH-FRA-01,2026-08-25,11,110.00,1210.00
97,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-DXB-01,2026-08-25,43,12.99,558.57
98,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-SIN-01,2026-08-25,15,125.00,1875.00
99,SKU-IND-901,High-Precision Ball Bearing Set,WH-NYC-01,2026-08-25,10,45.00,450.00
100,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-SIN-01,2026-08-25,33,210.00,6930.00
101,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-NYC-01,2026-08-24,8,12.00,96.00
102,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-SIN-01,2026-08-24,10,24.50,245.00
103,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-DXB-01,2026-08-24,43,9.99,429.57
104,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-LON-01,2026-08-24,29,7.50,217.50
105,SKU-PHA-505,Digital Infrared Thermometer,WH-SIN-01,2026-08-24,41,39.99,1639.59
106,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-FRA-01,2026-08-24,35,129.99,4549.65
107,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-DXB-01,2026-08-24,26,34.99,909.74
108,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-SIN-01,2026-08-24,44,59.99,2639.56
109,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-DXB-01,2026-08-24,17,349.99,5949.83
110,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-LON-01,2026-08-24,26,89.99,2339.74
111,SKU-FMCG-701,Organic Almond Milk 1L,WH-SIN-01,2026-08-24,44,4.50,198.00
112,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-LON-01,2026-08-24,31,16.99,526.69
113,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-DXB-01,2026-08-24,19,13.50,256.50
114,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-FRA-01,2026-08-24,20,5.25,105.00
115,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-SIN-01,2026-08-24,20,3.49,69.80
116,SKU-APP-801,Performance Running Shoes Men Size 10,WH-DXB-01,2026-08-24,28,110.00,3080.00
117,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-SIN-01,2026-08-24,39,12.99,506.61
118,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-LON-01,2026-08-24,44,125.00,5500.00
119,SKU-IND-901,High-Precision Ball Bearing Set,WH-FRA-01,2026-08-24,42,45.00,1890.00
120,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-DXB-01,2026-08-24,37,210.00,7770.00
121,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-LON-01,2026-08-23,39,12.00,468.00
122,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-NYC-01,2026-08-23,38,24.50,931.00
123,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-DXB-01,2026-08-23,21,9.99,209.79
124,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-FRA-01,2026-08-23,8,7.50,60.00
125,SKU-PHA-505,Digital Infrared Thermometer,WH-DXB-01,2026-08-23,31,39.99,1239.69
126,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-DXB-01,2026-08-23,8,129.99,1039.92
127,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-NYC-01,2026-08-23,17,34.99,594.83
128,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-FRA-01,2026-08-23,13,59.99,779.87
129,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-SIN-01,2026-08-23,11,349.99,3849.89
130,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-DXB-01,2026-08-23,21,89.99,1889.79
131,SKU-FMCG-701,Organic Almond Milk 1L,WH-FRA-01,2026-08-23,41,4.50,184.50
132,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-FRA-01,2026-08-23,38,16.99,645.62
133,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-NYC-01,2026-08-23,11,13.50,148.50
134,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-NYC-01,2026-08-23,7,5.25,36.75
135,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-FRA-01,2026-08-23,18,3.49,62.82
136,SKU-APP-801,Performance Running Shoes Men Size 10,WH-DXB-01,2026-08-23,23,110.00,2530.00
137,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-NYC-01,2026-08-23,29,12.99,376.71
138,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-LON-01,2026-08-23,20,125.00,2500.00
139,SKU-IND-901,High-Precision Ball Bearing Set,WH-NYC-01,2026-08-23,40,45.00,1800.00
140,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-SIN-01,2026-08-23,38,210.00,7980.00
141,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-LON-01,2026-08-22,42,12.00,504.00
142,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-FRA-01,2026-08-22,44,24.50,1078.00
143,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-NYC-01,2026-08-22,8,9.99,79.92
144,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-DXB-01,2026-08-22,41,7.50,307.50
145,SKU-PHA-505,Digital Infrared Thermometer,WH-SIN-01,2026-08-22,36,39.99,1439.64
146,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-SIN-01,2026-08-22,44,129.99,5719.56
147,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-SIN-01,2026-08-22,9,34.99,314.91
148,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-FRA-01,2026-08-22,33,59.99,1979.67
149,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-DXB-01,2026-08-22,17,349.99,5949.83
150,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-DXB-01,2026-08-22,6,89.99,539.94
151,SKU-FMCG-701,Organic Almond Milk 1L,WH-DXB-01,2026-08-22,41,4.50,184.50
152,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-NYC-01,2026-08-22,39,16.99,662.61
153,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-NYC-01,2026-08-22,43,13.50,580.50
154,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-DXB-01,2026-08-22,13,5.25,68.25
155,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-NYC-01,2026-08-22,42,3.49,146.58
156,SKU-APP-801,Performance Running Shoes Men Size 10,WH-SIN-01,2026-08-22,17,110.00,1870.00
157,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-DXB-01,2026-08-22,33,12.99,428.67
158,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-FRA-01,2026-08-22,25,125.00,3125.00
159,SKU-IND-901,High-Precision Ball Bearing Set,WH-SIN-01,2026-08-22,11,45.00,495.00
160,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-FRA-01,2026-08-22,6,210.00,1260.00
161,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-LON-01,2026-08-21,16,12.00,192.00
162,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-SIN-01,2026-08-21,9,24.50,220.50
163,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-SIN-01,2026-08-21,6,9.99,59.94
164,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-DXB-01,2026-08-21,43,7.50,322.50
165,SKU-PHA-505,Digital Infrared Thermometer,WH-NYC-01,2026-08-21,39,39.99,1559.61
166,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-LON-01,2026-08-21,30,129.99,3899.70
167,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-SIN-01,2026-08-21,10,34.99,349.90
168,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-SIN-01,2026-08-21,27,59.99,1619.73
169,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-NYC-01,2026-08-21,29,349.99,10149.71
170,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-SIN-01,2026-08-21,19,89.99,1709.81
171,SKU-FMCG-701,Organic Almond Milk 1L,WH-DXB-01,2026-08-21,26,4.50,117.00
172,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-FRA-01,2026-08-21,31,16.99,526.69
173,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-NYC-01,2026-08-21,42,13.50,567.00
174,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-FRA-01,2026-08-21,8,5.25,42.00
175,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-FRA-01,2026-08-21,45,3.49,157.05
176,SKU-APP-801,Performance Running Shoes Men Size 10,WH-SIN-01,2026-08-21,12,110.00,1320.00
177,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-FRA-01,2026-08-21,45,12.99,584.55
178,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-NYC-01,2026-08-21,23,125.00,2875.00
179,SKU-IND-901,High-Precision Ball Bearing Set,WH-NYC-01,2026-08-21,28,45.00,1260.00
180,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-DXB-01,2026-08-21,38,210.00,7980.00
181,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-SIN-01,2026-08-20,43,12.00,516.00
182,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-DXB-01,2026-08-20,45,24.50,1102.50
183,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-SIN-01,2026-08-20,30,9.99,299.70
184,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-LON-01,2026-08-20,33,7.50,247.50
185,SKU-PHA-505,Digital Infrared Thermometer,WH-DXB-01,2026-08-20,28,39.99,1119.72
186,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-LON-01,2026-08-20,13,129.99,1689.87
187,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-NYC-01,2026-08-20,18,34.99,629.82
188,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-SIN-01,2026-08-20,13,59.99,779.87
189,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-NYC-01,2026-08-20,23,349.99,8049.77
190,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-DXB-01,2026-08-20,45,89.99,4049.55
191,SKU-FMCG-701,Organic Almond Milk 1L,WH-LON-01,2026-08-20,35,4.50,157.50
192,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-SIN-01,2026-08-20,34,16.99,577.66
193,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-NYC-01,2026-08-20,31,13.50,418.50
194,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-LON-01,2026-08-20,24,5.25,126.00
195,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-DXB-01,2026-08-20,20,3.49,69.80
196,SKU-APP-801,Performance Running Shoes Men Size 10,WH-SIN-01,2026-08-20,36,110.00,3960.00
197,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-LON-01,2026-08-20,32,12.99,415.68
198,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-DXB-01,2026-08-20,9,125.00,1125.00
199,SKU-IND-901,High-Precision Ball Bearing Set,WH-SIN-01,2026-08-20,42,45.00,1890.00
200,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-SIN-01,2026-08-20,27,210.00,5670.00
201,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-SIN-01,2026-08-19,32,12.00,384.00
202,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-SIN-01,2026-08-19,27,24.50,661.50
203,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-SIN-01,2026-08-19,8,9.99,79.92
204,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-FRA-01,2026-08-19,41,7.50,307.50
205,SKU-PHA-505,Digital Infrared Thermometer,WH-LON-01,2026-08-19,34,39.99,1359.66
206,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-SIN-01,2026-08-19,21,129.99,2729.79
207,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-FRA-01,2026-08-19,41,34.99,1434.59
208,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-LON-01,2026-08-19,18,59.99,1079.82
209,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-NYC-01,2026-08-19,11,349.99,3849.89
210,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-DXB-01,2026-08-19,34,89.99,3059.66
211,SKU-FMCG-701,Organic Almond Milk 1L,WH-FRA-01,2026-08-19,32,4.50,144.00
212,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-LON-01,2026-08-19,44,16.99,747.56
213,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-FRA-01,2026-08-19,36,13.50,486.00
214,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-FRA-01,2026-08-19,19,5.25,99.75
215,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-NYC-01,2026-08-19,21,3.49,73.29
216,SKU-APP-801,Performance Running Shoes Men Size 10,WH-FRA-01,2026-08-19,19,110.00,2090.00
217,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-SIN-01,2026-08-19,30,12.99,389.70
218,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-SIN-01,2026-08-19,7,125.00,875.00
219,SKU-IND-901,High-Precision Ball Bearing Set,WH-DXB-01,2026-08-19,27,45.00,1215.00
220,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-SIN-01,2026-08-19,20,210.00,4200.00
221,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-FRA-01,2026-08-18,21,12.00,252.00
222,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-LON-01,2026-08-18,13,24.50,318.50
223,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-FRA-01,2026-08-18,32,9.99,319.68
224,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-LON-01,2026-08-18,25,7.50,187.50
225,SKU-PHA-505,Digital Infrared Thermometer,WH-DXB-01,2026-08-18,16,39.99,639.84
226,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-FRA-01,2026-08-18,14,129.99,1819.86
227,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-NYC-01,2026-08-18,24,34.99,839.76
228,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-SIN-01,2026-08-18,42,59.99,2519.58
229,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-SIN-01,2026-08-18,44,349.99,15399.56
230,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-LON-01,2026-08-18,21,89.99,1889.79
231,SKU-FMCG-701,Organic Almond Milk 1L,WH-FRA-01,2026-08-18,12,4.50,54.00
232,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-FRA-01,2026-08-18,33,16.99,560.67
233,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-DXB-01,2026-08-18,42,13.50,567.00
234,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-DXB-01,2026-08-18,22,5.25,115.50
235,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-NYC-01,2026-08-18,20,3.49,69.80
236,SKU-APP-801,Performance Running Shoes Men Size 10,WH-SIN-01,2026-08-18,29,110.00,3190.00
237,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-NYC-01,2026-08-18,27,12.99,350.73
238,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-FRA-01,2026-08-18,36,125.00,4500.00
239,SKU-IND-901,High-Precision Ball Bearing Set,WH-LON-01,2026-08-18,22,45.00,990.00
240,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-LON-01,2026-08-18,44,210.00,9240.00
241,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-SIN-01,2026-08-17,21,12.00,252.00
242,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-LON-01,2026-08-17,5,24.50,122.50
243,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-FRA-01,2026-08-17,9,9.99,89.91
244,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-DXB-01,2026-08-17,30,7.50,225.00
245,SKU-PHA-505,Digital Infrared Thermometer,WH-FRA-01,2026-08-17,11,39.99,439.89
246,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-LON-01,2026-08-17,34,129.99,4419.66
247,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-FRA-01,2026-08-17,14,34.99,489.86
248,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-FRA-01,2026-08-17,29,59.99,1739.71
249,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-NYC-01,2026-08-17,6,349.99,2099.94
