Description,average,sd,total_sales,total_revenue,avg_unit_price,product_mix,service_level,lead_time_days,lead_time_sd_days,ordering_cost_per_order,holding_rate,unit_cost,unit_cost_is_real,safety_stock_fixed_leadtime,reorder_point_fixed_leadtime,safety_stock_variable_leadtime,reorder_point_variable_leadtime,demand_lead_time,safety_stock_uplift_pct,safety_stock_investment,annual_demand,eoq_units,eoq_order_cycle_weeks,eoq_practical_units,annual_ordering_cost,annual_holding_cost,annual_logistics_cost
Star Wreath Decoration With Bell,144.0,0.0,288,299.52,1.04,A_A,0.95,20.0,3.5,48.63,0.279,0.598,True,0.0,2880.0,829.006227983542,3709.006227983542,2880.0,,495.74572433415807,52560.0,5535.312155240203,5.476336226645558,4043.0769230769233,461.761275302293,461.761275302293,32354.402550604584
Magic Sheep Wool Growing From Paper,72.0,0.0,72,61.199999999999996,0.85,A_A,0.95,11.0,3.7000000000000006,38.42,0.246,1.0987666666666667,True,0.0,792.0,438.1890062198722,1230.1890062198722,792.0,,481.4674737341883,26280.0,2733.2922321340534,5.40834079417697,2021.5384615384617,369.3997985761227,369.3997985761227,29614.387597152247
Strawberry Lunch Box With Cutlery,21.0,26.153393661244042,84,187.2,2.2285714285714286,A_A,0.95,17.0,5.3,59.1,0.24099999999999996,1.7862000000000002,True,177.36983758300468,534.3698375830047,254.90290872229113,611.9029087222912,357.0,43.712658361657965,455.30757555975646,7665.0,1450.745573304489,9.84197910134813,1179.2307692307693,312.25427003589556,312.2542700358956,14315.731540071793
Blue Harmonica In Box,54.0,59.39696961966999,108,135.0,1.25,A_A,0.95,19.0,3.7,51.24,0.245,0.8063,True,425.8614666941865,1451.8614666941864,537.9250800289485,1563.9250800289485,1026.0,26.314569901022654,433.7289920273412,19710.0,3197.654213640514,8.436226235885679,3032.3076923076924,315.8379025761474,315.8379025761475,16523.848805152295
Black Christmas Tree,18.0,0.0,18,35.1,1.9500000000000002,A_A,0.95,40.0,12.7,35.03,0.3,1.0666,True,0.0,720.0,376.01353912110653,1096.0135391211065,720.0,,401.0560408265722,6570.0,1199.3787065935908,9.492799504241509,1010.7692307692308,191.88859926790857,191.88859926790857,7391.339198535817
Christmas Craft Little Friends,18.0,0.0,18,37.800000000000004,2.1,A_A,0.95,41.0,12.3,57.44,0.341,1.0878,True,0.0,738.0,364.17059300705597,1102.170593007056,738.0,,396.1447710730755,6570.0,1426.4389251132475,11.289927565584303,1010.7692307692308,264.5614847968616,264.5614847968615,7675.968969593723
Red Retrospot Butter Dish,12.0,8.48528137423857,24,106.2,4.425,A_A,0.95,22.0,4.7,77.35,0.262,3.213625,True,65.46434778783895,329.46434778783896,113.54209059651174,377.54209059651174,264.0,73.44110868481609,364.88170089321505,4380.0,897.0857701197868,10.65033334388788,673.8461538461539,377.65954079815725,377.65954079815725,14830.996581596315
Woodland Storage Box Large,24.0,0.0,24,61.199999999999996,2.55,A_A,0.95,18.0,4.9,27.22,0.233,1.8367166666666668,True,0.0,432.0,193.43478652949315,625.4347865294932,432.0,,355.2848963318289,8760.0,1055.6308347982365,6.266301759076289,673.8461538461539,225.88123815611598,225.88123815611604,16541.400476312232
Boys Alphabet Iron On Patches,288.0,0.0,288,60.48,0.21,A_A,0.95,21.0,5.5,29.61,0.243,0.1275,True,0.0,6048.0,2605.448145091132,8653.448145091132,6048.0,,332.1946384991194,105120.0,14174.855764617585,7.011914952055883,8086.153846153847,219.5862343636322,219.58623436363217,13841.972468727265
Filigree Heart Bird White,24.0,0.0,24,30.0,1.25,A_A,0.95,34.0,10.3,35.5,0.28,0.7475,True,0.0,816.0,406.6078165824039,1222.607816582404,816.0,,303.93934289534695,8760.0,1723.8386480941779,10.232832157636672,1347.6923076923078,180.39971452305574,180.39971452305576,6908.899429046112
Woodland Storage Box Small,24.0,0.0,24,44.400000000000006,1.8500000000000003,A_A,0.95,18.0,5.5,27.75,0.234,1.3893833333333332,True,0.0,432.0,217.12067875759433,649.1206787575943,432.0,,301.66385238782226,8760.0,1222.8679801875348,7.259033672346097,673.8461538461539,198.78678969312824,198.78678969312827,12568.571579386256
Red Woolly Hottie White Heart,24.0,0.0,24,90.0,3.75,A_A,0.95,20.0,3.3,72.09,0.254,2.2763,True,0.0,480.0,130.2724072545566,610.2724072545566,480.0,,296.5390806335472,8760.0,1477.9949704358726,8.773486125875042,1347.6923076923078,427.27371380280346,427.27371380280346,20794.935427605607
Snack Loaf Baking Cases,48.0,69.2820323027551,144,105.44,0.7322222222222222,A_A,0.95,18.0,3.5,46.53,0.24100000000000002,0.5289999999999999,True,483.48625051168074,1347.4862505116807,556.8843801744063,1420.8843801744063,864.0,15.181016954473314,294.59183711226086,17520.0,3576.1211049631133,10.614058074091432,2695.3846153846157,227.95805177532114,227.95805177532117,9723.99610355064
Cake Stand Tier Magic Garden,12.0,0.0,12,131.39999999999998,10.949999999999998,B_A,0.7,25.0,6.2,51.68,0.255,7.4655000000000005,True,0.0,300.0,39.01539814547823,339.01539814547823,300.0,,291.26945485506775,4380.0,487.6562171889297,5.789525866169941,336.92307692307696,464.1761799015542,464.17617990155424,33627.24235980311
Pantry Washing Up Brush,24.0,0.0,24,34.8,1.45,A_A,0.95,24.0,7.099999999999999,50.080000000000005,0.225,1.0252,True,0.0,576.0,280.28305803253085,856.2830580325308,576.0,,287.3461910949506,8760.0,1950.310025343107,11.577182798840361,1347.6923076923078,224.93900677294724,224.93900677294724,9430.630013545893
Red Apples Chopping Board,7.5,6.363961030678928,15,74.25,4.95,A_A,0.95,23.0,6.5,34.27,0.294,2.9849,True,50.20173032366391,222.70173032366392,94.60500432119596,267.10500432119596,172.5,88.44968831004894,282.38647739833783,2737.5,462.39225996330913,8.783341559120393,421.1538461538462,202.88861454437878,202.88861454437878,8576.940979088758
Fork Candles,15.0,4.242640687119285,30,86.7,2.89,A_A,0.95,25.0,5.4,52.32,0.276,2.049,True,34.89261461030021,409.8926146103002,137.7264141574264,512.7264141574265,375.0,294.71508711981113,282.2014226085667,5475.0,1006.5037724909179,9.559487884845248,842.3076923076924,284.6010197170769,284.60101971707695,11787.477039434154
Pink And White Christmas Tree,15.0,12.727922061357855,30,58.5,1.95,A_A,0.95,36.0,6.8,28.74,0.291,1.3352,True,125.61341259708075,665.6134125970807,209.58817600402253,749.5881760040226,540.0,66.85174908534674,279.8421326005709,5475.0,899.9757037893809,8.54771444694937,842.3076923076924,174.83971993628904,174.83971993628907,7659.899439872577
Spaceboy Lunch Box,24.0,20.784609690826528,72,140.39999999999998,1.9499999999999997,A_A,0.95,15.0,3.8,69.66,0.24299999999999997,1.3728,True,132.4081628244206,492.40816282442063,200.08777306314755,560.0877730631476,360.0,51.11437904963101,274.68049486108896,8760.0,1912.7227082115585,11.354061738242128,1347.6923076923078,319.03296666068854,319.0329666606885,12663.793933321378
Gumball Coat Rack,24.0,0.0,24,61.199999999999996,2.55,A_A,0.95,25.0,4.3,66.48,0.26,1.5359999999999998,True,0.0,600.0,169.74889430139194,769.7488943013919,600.0,,260.734301646938,8760.0,1707.773516780075,10.137468364447933,1347.6923076923078,341.0082158306453,341.0082158306453,14137.376431661289
Chick Grey Hot Water Bottle,10.0,9.521904571390465,40,170.0,4.25,A_A,0.95,18.0,4.8,75.37,0.252,2.3262666666666667,True,66.44882931311666,246.44882931311668,103.19408430389575,283.19408430389575,180.0,55.29857391110691,240.05695851334255,3650.0,968.7922779339332,13.801972178784801,561.5384615384615,283.962317068304,283.962317068304,9058.797967469942
Ribbons Vintage Christmas,9.0,4.242640687119285,18,52.019999999999996,2.8899999999999997,A_A,0.95,34.0,9.5,55.16,0.328,1.5327333333333335,True,40.691431455607365,346.69143145560736,146.40352328139983,452.4035232813998,306.0,259.7895626776362,224.39756025084426,3285.0,849.0330388323698,13.43979239552001,505.3846153846154,213.41996331402555,213.41996331402555,5461.868926628052
Jumbo Bag Owls,20.0,0.0,20,41.6,2.08,A_A,0.95,15.0,5.0,72.48,0.242,1.36215,True,0.0,300.0,164.48536269514722,464.4853626951472,300.0,,224.05373679519477,7300.0,1791.7003142848907,12.762796759289634,1123.076923076923,295.3083145554829,295.3083145554828,10534.311629110965
Retrospot Padded Seat Cushion,12.5,3.5355339059327378,25,93.75,3.75,A_A,0.95,19.0,4.4,37.45,0.279,2.3173166666666667,True,25.348896827034913,262.84889682703493,93.95124011414796,331.45124011414794,237.5,270.6324608728053,217.714774570517,4562.5,727.022000593675,8.286058965670378,701.9230769230769,235.0212577617648,235.02125776176476,11042.799807190197
Tradtional Alphabet Stamp,8.0,5.656854249492381,16,79.2,4.95,A_A,0.95,20.0,4.0,37.62,0.265,3.2274,True,41.61187103004459,201.6118710300446,67.09712592663539,227.09712592663539,160.0,61.24515496597098,216.54926421562303,2920.0,506.8348680947382,9.025826418125476,449.2307692307693,216.73804806078695,216.73804806078698,9857.484096121574
Woodland Bunnies Lolly Makers,12.0,6.0,36,74.88,2.08,A_A,0.95,24.0,7.599999999999999,35.88,0.296,1.3666,True,48.348625051168064,336.3486250511681,157.60959644377553,445.60959644377556,288.0,225.9856847572707,215.38927450006364,4380.0,881.4784646621522,10.465041132975323,673.8461538461539,178.28501353148,178.28501353147996,6342.278027062961
Mini Lights Woodland Mushrooms,8.25,5.678908345800274,33,123.75,3.75,A_A,0.95,26.0,5.6,50.07,0.296,2.3813,True,47.629803550497705,262.1298035504977,89.68510665890082,304.18510665890085,214.5,88.296192663939,213.56714448684053,3011.25,654.0700882026189,11.29485914040222,463.2692307692308,230.51549095346064,230.51549095346064,7631.720606906922
Set/10 Red Polkadot Party Candles,36.0,16.97056274847714,72,90.0,1.25,A_A,0.95,20.0,4.1,68.98,0.276,0.7775,True,124.83561309013378,844.8356130901337,272.9949645251415,992.9949645251415,720.0,118.68356133920992,212.2535849182975,13140.0,2906.4947014817294,11.50210992976027,2021.5384615384617,311.8523489954822,311.85234899548215,10840.054697990965
Spaceboy Cookie Cutter,12.0,0.0,36,75.60000000000001,2.1,A_A,0.95,25.0,7.8,51.65,0.273,1.3734,True,0.0,300.0,153.9582994826578,453.9582994826578,300.0,,211.4463285094822,4380.0,1098.5184892504897,13.041772018498964,673.8461538461539,205.93827251314892,205.93827251314897,6427.368545026298
Pink Owl Soft Toy,9.0,4.242640687119285,18,53.10000000000001,2.9500000000000006,A_A,0.95,23.0,7.5,37.83,0.263,1.8202,True,33.46782021577594,240.46782021577593,115.96218070007879,322.96218070007876,207.0,246.4885969640083,211.07436131028342,3285.0,720.5488446703743,11.405948226136822,505.3846153846154,172.4679054295755,172.46790542957552,6324.292810859151
Red Diner Wall Clock,12.0,0.0,12,91.80000000000001,7.650000000000001,B_A,0.7,23.0,7.3,70.27,0.277,4.5365,True,0.0,276.0,45.93748491322436,321.93748491322435,276.0,,208.3954003088423,4380.0,699.9011187598312,8.309328350573338,673.8461538461539,439.75154739767544,439.75154739767544,20749.37309479535
Red Retrospot Mini Cases,4.0,4.0,16,127.2,7.95,A_A,0.95,19.0,3.6,74.95,0.224,5.448266666666666,True,28.67900294719127,104.67900294719126,37.195519900738454,113.19551990073845,76.0,29.696000831093272,202.65111122452993,1460.0,423.4713731041385,15.082542055763838,224.61538461538464,258.40471623353426,258.40471623353415,8471.278765800402
Red Toadstool Led Night Light,16.0,6.928203230275509,48,79.19999999999999,1.6499999999999997,A_A,0.95,29.0,6.4,67.65,0.268,1.1171,True,61.36869306169729,525.3686930616973,179.26459722241964,643.2645972224196,464.0,192.11082765310837,200.256481557165,5840.0,1624.5829796763926,14.465464887529523,898.4615384615386,243.1861006439307,243.18610064393076,7010.236201287861
Spotty Bunting,6.75,2.8722813232690143,27,133.65,4.95,A_A,0.95,20.0,4.7,55.17,0.227,3.5540999999999996,True,21.12852739605255,156.12852739605256,56.29811905251439,191.29811905251438,135.0,166.45547982218858,200.08914492454136,2463.75,580.4797289715797,12.251626953433647,379.03846153846155,234.15992103775065,234.15992103775065,9224.7337170755
Butterfly Cookie Cutters,24.0,0.0,24,34.8,1.45,A_A,0.95,18.0,5.4,74.29,0.253,0.87338,True,0.0,432.0,213.17303005291083,645.1730300529108,432.0,,186.18106098761126,8760.0,2427.0031959530243,14.406868286479138,1347.6923076923078,268.14155048710376,268.1415504871037,8187.091900974208
Red Retrospot Childrens Umbrella,8.0,3.4641016151377544,24,78.0,3.25,A_A,0.95,23.0,6.7,70.59,0.278,2.0118,True,27.326360777284883,211.3263607772849,92.30193993198783,276.3019399319878,184.0,237.77618865631786,185.6930427551731,2920.0,858.5452991440136,15.289162861468736,449.2307692307693,240.0837791616918,240.0837791616918,6354.623558323384
Zinc Heart T-Light Holder,16.0,0.0,16,20.0,1.25,A_A,0.95,35.0,9.3,24.88,0.295,0.7388,True,0.0,560.0,244.75421969037907,804.754219690379,560.0,,180.82441750725206,5840.0,1154.7079557007974,10.28164618089751,898.4615384615386,125.831990056583,125.831990056583,4566.255980113166
Traditional Christmas Ribbons,24.0,0.0,24,30.0,1.25,A_A,0.95,32.0,6.5,67.41,0.338,0.7037,True,0.0,768.0,256.59716580442966,1024.5971658044296,768.0,,180.56742557657716,8760.0,2228.317591471401,13.227456022432975,1347.6923076923078,265.0033380610139,265.00333806101384,6694.418676122028
Vintage Christmas Gift Bag Large,12.0,0.0,12,15.0,1.25,A_B,0.95,40.0,12.4,28.88,0.307,0.735,True,0.0,480.0,244.75421969037907,724.754219690379,480.0,,179.8943514724286,4380.0,1058.8581659356946,12.570918864989983,673.8461538461539,119.4630254262799,119.4630254262799,3458.2260508525596
Red Spot Ceramic Drawer Knob,24.0,0.0,24,34.8,1.45,A_A,0.95,20.0,5.2,57.59,0.26,0.8545499999999999,True,0.0,480.0,205.27773264354371,685.2777326435437,480.0,,175.42008643054027,8760.0,2131.008475180685,12.649821998789454,1347.6923076923078,236.73692802053506,236.73692802053503,7959.33185604107
White Spot Red Ceramic Drawer Knob,18.0,6.928203230275509,72,104.39999999999999,1.45,A_A,0.95,21.0,6.2,56.9,0.298,0.9181571428571429,True,52.22248368019445,430.22248368019444,190.84952471349447,568.8495247134945,378.0,265.45470698452203,175.22985432658578,6570.0,1653.0545114118563,13.083536467795515,1010.7692307692308,226.14680727056796,226.146807270568,6484.586043112565
Red Retrospot Peg Bag,18.0,0.0,18,45.9,2.55,A_A,0.95,17.0,4.1,65.35,0.235,1.4315,True,0.0,306.0,121.39019766901865,427.3901976690187,306.0,,173.7700679632002,6570.0,1597.6839458508175,12.645291504450913,1010.7692307692308,268.7324367970398,268.73243679703984,9942.419873594079
Heart T-Light Holder Willie Winkie,12.0,0.0,24,39.599999999999994,1.6499999999999997,A_A,0.95,26.0,8.0,52.04,0.258,1.0477,True,0.0,312.0,157.90594818734132,469.9059481873413,312.0,,165.4380619158775,4380.0,1298.6507542468414,15.417771511606336,673.8461538461539,175.51693498394962,175.51693498394962,4939.9598699679
Set/10 Ivory Polkadot Party Candles,24.0,0.0,24,30.0,1.25,A_A,0.95,17.0,5.0,36.54,0.304,0.8137,True,0.0,408.0,197.38243523417665,605.3824352341767,408.0,,160.61008755004954,8760.0,1608.7270806841002,9.549521483512924,1347.6923076923078,198.9712262840032,198.97122628400314,7525.954452568006
Ribbons Rustic Charm,24.0,20.784609690826528,72,140.39999999999998,1.9499999999999997,A_A,0.95,14.0,2.6,65.12,0.229,0.9568714285714286,True,127.91843811729824,463.91843811729825,164.00568188385307,500.0056818838531,336.0,28.211135390399058,156.93235111803375,8760.0,2281.8112244904273,13.544998136244548,1347.6923076923078,249.9992961194206,249.9992961194205,8882.192306524556
Set/10 Pink Polkadot Party Candles,24.0,0.0,72,90.0,1.25,A_A,0.95,15.0,5.0,66.11,0.304,0.7612,True,0.0,360.0,197.38243523417665,557.3824352341767,360.0,,150.24750970025528,8760.0,2237.249645223626,13.280477346076319,1347.6923076923078,258.85515335152206,258.85515335152206,7185.822306703044
I Love London Cake Cases,36.0,16.97056274847714,72,39.6,0.55,A_A,0.95,20.0,6.1,46.41,0.263,0.3916,True,124.83561309013378,844.8356130901337,382.17337781802564,1102.1733778180255,720.0,206.1413072422602,149.65909475353885,13140.0,3441.2739650657095,13.618435782604026,2021.5384615384617,177.20977934064473,177.20977934064476,5500.043558681289
3D Christmas Stamps Stickers,18.0,0.0,18,22.5,1.25,A_A,0.95,41.0,7.8,40.58,0.348,0.635,True,0.0,738.0,230.9374492239867,968.9374492239867,738.0,,146.64528025723155,6570.0,1553.3782477074667,12.294622356284364,1010.7692307692308,171.632762589198,171.632762589198,4515.215525178396
Gift Tags Vintage Christmas,16.0,6.928203230275509,48,39.839999999999996,0.83,A_A,0.95,36.0,12.0,52.94,0.329,0.449,True,68.37528126945347,644.3752812694535,323.12897267260047,899.1289726726004,576.0,372.5815626252608,145.0849087299976,5840.0,2045.937065613757,18.217247844506055,1796.9230769230771,151.1139346347649,151.11393463476492,2924.38786926953
Filigree Heart Daisy White,24.0,0.0,24,30.0,1.25,A_A,0.95,21.0,4.7,34.1,0.278,0.7812,True,0.0,504.0,185.5394891201261,689.5394891201261,504.0,,144.9434489006425,8760.0,1658.5964257347503,9.845549559156051,1347.6923076923078,180.1016783619742,180.1016783619742,7203.515356723949
Rain Poncho Retrospot,24.0,0.0,24,20.4,0.85,A_A,0.95,21.0,6.7,56.720000000000006,0.24699999999999997,0.5465,True,0.0,504.0,264.4924632137967,768.4924632137968,504.0,,144.5451311463399,8760.0,2713.261186456672,16.106116631934583,2695.3846153846157,183.12545894222353,183.12545894222353,5153.590917884447
Ribbons Perfectly Pretty,12.0,0.0,12,34.68,2.89,A_A,0.95,13.0,4.3,24.22,0.227,1.6935,True,0.0,156.0,84.87444715069597,240.87444715069597,156.0,,143.73487624970363,4380.0,742.9055338696755,8.819883050507563,673.8461538461539,142.79554420254155,142.79554420254155,7703.121088405082
Alarm Clock Bakelike Pink,8.0,0.0,16,60.0,3.75,A_A,0.95,17.0,4.8,73.65,0.241,2.2462,True,0.0,136.0,63.16237927493653,199.16237927493654,136.0,,141.87533632736242,2920.0,891.3742137980857,15.873787369007005,449.2307692307693,241.26567346350788,241.26567346350785,7041.435346927015
Ivory Diner Wall Clock,12.0,0.0,12,91.80000000000001,7.650000000000001,B_A,0.7,18.0,4.9,52.58,0.245,4.5976,True,0.0,216.0,30.834750147232793,246.8347501472328,216.0,,141.7658472769175,4380.0,639.4604805753194,7.591768262538038,336.92307692307696,360.14797942290335,360.1479794229033,20857.78395884581
Set/10 Blue Spotty Party Candles,24.0,0.0,72,90.0,1.25,A_A,0.95,15.0,4.5,61.97,0.27,0.7875,True,0.0,360.0,177.644191710759,537.6441917107591,360.0,,139.8948009722227,8760.0,2259.6992198905364,13.413739661450672,1347.6923076923078,240.2342733146126,240.23427331461266,7378.968546629225
Regency Tea Spoon,24.0,0.0,24,30.0,1.25,A_A,0.95,19.0,4.5,36.3,0.245,0.7875,True,0.0,456.0,177.644191710759,633.6441917107591,456.0,,139.8948009722227,8760.0,1815.5659953254037,10.77733239234258,1347.6923076923078,175.14538211154755,175.14538211154752,7248.790764223095
Mini Cake Stand T-Light Holder,48.0,0.0,48,20.16,0.42,A_A,0.95,34.0,7.5,28.43,0.267,0.23399999999999999,True,0.0,1632.0,592.1473057025299,2224.14730570253,1632.0,,138.562469534392,17520.0,3993.069959556315,11.851577505532441,2695.3846153846157,124.73951246657973,124.73951246657973,4349.159024933158
Picture Dominoes,18.0,8.48528137423857,36,52.199999999999996,1.45,A_A,0.95,20.0,5.2,74.22,0.293,0.8294,True,62.41780654506689,422.41780654506687,166.12989060818992,526.12989060819,360.0,166.15784790233036,137.78813127043273,6570.0,2003.2831214981,15.85551329039592,1010.7692307692308,243.4131225721818,243.41312257218178,5935.984245144364
Vintage Postcard,24.0,0.0,48,31.200000000000003,0.65,A_A,0.95,13.0,3.5,40.84,0.202,0.9856,True,0.0,312.0,138.16770466392367,450.1677046639237,312.0,,136.17808971676317,8760.0,1895.7623133235134,11.253383595071083,1347.6923076923078,188.71479693717714,188.71479693717714,9011.285593874354
Bubblegum Ring,72.0,0.0,72,30.24,0.42,A_A,0.95,23.0,5.4,44.95,0.299,0.21,True,0.0,1656.0,639.5190901587325,2295.5190901587325,1656.0,,134.29900893333382,26280.0,6134.049619917353,12.137388897857775,4043.0769230769233,192.5784878173053,192.5784878173053,5903.956975634611
Spaceboy Rocket Lolly Makers,9.0,4.242640687119285,18,37.44,2.08,A_A,0.95,20.0,6.0,23.92,0.243,1.3749,True,31.208903272533444,211.20890327253343,94.14542132051125,274.1454213205112,180.0,201.66206257996714,129.44053977357092,3285.0,685.8427935213823,10.856567812210619,505.3846153846154,114.57027870272465,114.57027870272464,4745.68705740545
Round Snack Boxes Of4 Woodland,8.0,3.0983866769659336,48,141.60000000000002,2.9500000000000006,A_A,0.95,19.0,4.2,64.82,0.218,2.138836,True,22.214660160061047,174.21466016006104,59.56459908336966,211.56459908336967,152.0,168.1319392428012,127.39890884507803,2920.0,901.0397433976833,16.04591323858888,898.4615384615386,210.0622102264603,210.06221022646028,6665.52554045292
Circus Parade Lunch Box,12.0,0.0,36,70.19999999999999,1.9499999999999997,A_A,0.95,18.0,4.6,76.62,0.248,1.3962,True,0.0,216.0,90.79592020772125,306.7959202077212,216.0,,126.76926379402042,4380.0,1392.2700141040264,16.52923304415739,1347.6923076923078,241.0420368178132,241.04203681781317,6597.440073635627
Victorian Glass Hanging T-Light,12.0,0.0,12,15.0,1.25,A_B,0.95,33.0,8.1,56.85,0.285,0.7812,True,0.0,396.0,159.8797725396831,555.8797725396831,396.0,,124.89807830800044,4380.0,1495.59408985975,17.755911569111188,1347.6923076923078,166.4910296772772,166.49102967727723,3754.6380593545546
Jumbo Bag Apples,10.0,0.0,20,41.6,2.08,A_A,0.95,18.0,5.0,53.69,0.254,1.4726,True,0.0,180.0,82.24268134757361,262.2426813475736,180.0,,121.11057255243689,3650.0,1023.6438361023576,14.583419034882903,561.5384615384615,191.44207495663017,191.44207495663014,5757.87414991326
Feather Pen Light Pink,24.0,0.0,24,9.36,0.38999999999999996,A_C,0.95,24.0,8.0,52.77,0.268,0.3825,True,0.0,576.0,315.81189637468265,891.8118963746826,576.0,,120.79805036331611,8760.0,3003.1531570978577,17.82693654898272,2695.3846153846157,153.92661506705073,153.9266150670507,3658.553230134102
Spaceboy Childrens Bowl,10.666666666666666,4.618802153517006,32,40.0,1.25,A_A,0.95,31.0,9.3,40.25,0.268,0.715,True,42.299717150060225,372.9663838167269,168.56317868112416,499.2298453477908,330.66666666666663,298.4971769034256,120.52267275700376,3893.333333333333,1278.9050913234953,17.08126663069052,1197.948717948718,122.5318967997041,122.53189679970409,3028.7971269327413
Parisienne Jewellery Drawer,6.0,0.0,6,45.0,7.5,C_A,0.8,20.0,5.2,50.09,0.251,4.5825,True,0.0,120.0,26.258582487474925,146.25858248747494,120.0,,120.32995424885384,2190.0,436.74151224592134,10.370118098989913,336.92307692307696,251.17168147330023,251.17168147330025,10538.0183629466
Children S Spaceboy Mug,12.0,0.0,12,19.799999999999997,1.6499999999999997,A_A,0.95,23.0,6.4,48.4,0.298,0.9471,True,0.0,276.0,126.32475854987308,402.3247585498731,276.0,,119.6421788225848,4380.0,1225.6562483074267,14.551170071229723,673.8461538461539,172.9620358830226,172.9620358830226,4494.222071766046
Fawn Blue Hot Water Bottle,6.666666666666667,4.131182235954578,40,150.0,3.75,A_A,0.95,18.0,4.2,52.99,0.288,2.1805666666666665,True,28.829549928816274,148.82954992881628,54.33497048042739,174.3349704804274,120.0,88.46971463164411,118.48102546393727,2433.3333333333335,640.8137648555087,13.694102372254704,374.3589743589744,201.21654746665342,201.21654746665345,5708.4786504888625
Doughnut Lip Gloss,20.0,0.0,40,50.0,1.25,A_A,0.95,22.0,4.4,42.87,0.257,0.8000000000000002,True,0.0,440.0,144.74711917172957,584.7471191717295,440.0,,115.79769533738367,7300.0,1744.7837768662234,12.428596766718304,1123.076923076923,179.3637722618478,179.3637722618478,6198.727544523696
