Description,ADI,average,sd,cv_squared,demand_pattern,product_mix
ASSORTED BOTTLE TOP  MAGNETS ,51.0,18.0,6.928203230275509,0.1481481481481481,intermittent,B_C
ASSORTED CAKES FRIDGE MAGNETS,9.0,12.0,0.0,0.0,intermittent,B_C
ASSORTED COLOUR BIRD ORNAMENT,45.4,20.0,16.0,0.6400000000000001,lumpy,A_A
ASSORTED COLOUR LIZARD SUCTION HOOK,180.0,24.0,0.0,0.0,intermittent,B_C
ASSORTED COLOUR MINI CASES,25.958333333333332,5.36,7.319380665967123,1.864743446944382,lumpy,A_A
ASSORTED COLOURS SILK FAN,41.30769230769231,150.0,235.13923861929453,2.457353846153846,lumpy,A_A
ASSORTED CREEPY CRAWLIES,189.0,24.0,0.0,0.0,intermittent,B_C
ASSORTED EASTER GIFT TAGS,28.6,14.0,4.898979485566356,0.1224489795918367,intermittent,A_B
"ASSORTED FLOWER COLOUR ""LEIS""",187.5,24.0,0.0,0.0,intermittent,B_B
ASSORTED ICE CREAM FRIDGE MAGNETS,31.666666666666668,12.0,0.0,0.0,intermittent,B_C
ASSORTED MONKEY SUCTION CUP HOOK,130.5,24.0,0.0,0.0,intermittent,B_C
ASSORTED SANSKRIT MINI NOTEBOOK,244.0,162.0,178.19090885900997,1.2098765432098764,lumpy,A_A
ASSORTED TUTTI FRUTTI SMALL PURSE,107.5,24.0,0.0,0.0,intermittent,B_B
ASSTD DESIGN 3D PAPER STICKERS,87.0,60.0,0.0,0.0,intermittent,A_B
ASSTD DESIGN RACING CAR PEN,213.0,16.0,0.0,0.0,intermittent,B_B
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,218.0,24.0,0.0,0.0,intermittent,B_C
BABUSHKA LIGHTS STRING OF 10,84.0,2.75,1.0350983390135313,0.14167650531286896,intermittent,C_A
BABY BOOM RIBBONS ,30.0,18.0,10.816653826391967,0.361111111111111,intermittent,A_A
BAG 125g SWIRLY MARBLES,115.0,12.0,0.0,0.0,intermittent,B_C
BAG 250g SWIRLY MARBLES,491.0,12.0,0.0,0.0,intermittent,C_C
BAG 500g SWIRLY MARBLES,142.0,12.0,0.0,0.0,intermittent,B_B
BAKING MOULD CHOCOLATE CUPCAKES,46.8,9.0,5.019960159204453,0.31111111111111117,intermittent,B_B
BAKING MOULD EASTER EGG WHITE CHOC,153.0,30.0,25.45584412271571,0.72,lumpy,B_A
BAKING MOULD HEART MILK CHOCOLATE,88.0,6.0,0.0,0.0,intermittent,C_C
BAKING MOULD HEART WHITE CHOCOLATE,31.0,3.5,3.5355339059327378,1.0204081632653064,lumpy,C_C
BAKING MOULD ROSE MILK CHOCOLATE,183.0,39.0,46.66904755831214,1.4319526627218935,lumpy,B_A
BAKING MOULD TOFFEE CUP CHOCOLATE,95.0,51.0,63.63961030678928,1.5570934256055367,lumpy,A_A
BAKING SET 9 PIECE RETROSPOT ,20.794117647058822,3.657142857142857,1.6617293816428491,0.20646039177389705,intermittent,A_A
BAKING SET SPACEBOY DESIGN,28.61111111111111,3.1052631578947367,0.7374684055082001,0.05640141721727474,intermittent,B_A
BALLOON ART MAKE YOUR OWN FLOWERS,228.0,10.0,0.0,0.0,intermittent,C_B
BALLOON PUMP WITH 10 BALLOONS,71.33333333333333,8.0,0.0,0.0,intermittent,B_B
BALLOON WATER BOMB PACK OF 35,267.5,20.0,0.0,0.0,intermittent,B_C
BALLOONS  WRITING SET ,132.25,12.0,0.0,0.0,intermittent,B_B
BASKET OF TOADSTOOLS,41.5,13.090909090909092,3.618136134933164,0.07638888888888891,intermittent,A_A
BATH BUILDING BLOCK WORD,140.0,3.0,0.0,0.0,intermittent,C_C
BATHROOM METAL SIGN,129.0,21.0,11.489125293076057,0.2993197278911565,intermittent,A_B
BEACH HUT KEY CABINET,51.0,6.0,2.8284271247461903,0.22222222222222227,intermittent,C_B
BEACH HUT SHELF W 3 DRAWERS,37.0,6.0,2.8284271247461903,0.22222222222222227,intermittent,C_B
BELLE JARDINIERE CUSHION COVER,10.5,17.333333333333332,23.09401076758503,1.7751479289940828,lumpy,B_A
BEWARE OF THE CAT METAL SIGN ,83.25,16.0,12.0,0.5625,lumpy,A_A
BIG DOUGHNUT FRIDGE MAGNETS,15.8,24.29268292682927,15.05696500367691,0.3841704166061838,intermittent,A_A
BIRD DECORATION GREEN  SPOT,61.0,21.0,18.0,0.7346938775510203,lumpy,A_B
BIRD DECORATION GREEN POLKADOT,179.0,12.0,0.0,0.0,intermittent,B_C
BIRD DECORATION RED RETROSPOT,71.25,14.4,5.366563145999495,0.1388888888888889,intermittent,B_B
BIRD DECORATION RED SPOT,86.33333333333333,15.0,6.0,0.16000000000000003,intermittent,B_B
BIRD HOUSE HOT WATER BOTTLE,128.33333333333334,5.0,2.0,0.16000000000000003,intermittent,C_B
BIRDCAGE DECORATION TEALIGHT HOLDER,554.0,9.0,4.242640687119285,0.22222222222222215,intermittent,C_C
BIRDHOUSE GARDEN MARKER ,13.6,10.0,0.0,0.0,intermittent,B_B
BIRDS MOBILE VINTAGE DESIGN,40.0,3.5294117647058822,1.1788578719900635,0.1115625,intermittent,B_A
"BIRTHDAY CARD, RETRO SPOT",57.285714285714285,12.0,0.0,0.0,intermittent,A_B
BIRTHDAY PARTY CORDON BARRIER TAPE,293.0,12.0,0.0,0.0,intermittent,C_C
BISCUIT TIN 50'S CHRISTMAS,7.357142857142857,6.8,2.1111946516469904,0.09639149777558081,intermittent,A_A
BISCUIT TIN VINTAGE CHRISTMAS,45.0,13.5,15.0,1.234567901234568,lumpy,B_A
BISCUIT TIN VINTAGE GREEN,46.0,2.0,0.0,0.0,intermittent,C_C
BISCUIT TIN VINTAGE RED,23.0,2.0,0.0,0.0,intermittent,C_B
BLACK AND WHITE CAT BOWL,217.0,6.0,0.0,0.0,intermittent,C_C
BLACK BAROQUE CUCKOO CLOCK,98.0,3.0,1.4142135623730951,0.22222222222222227,intermittent,C_B
BLACK CHRISTMAS TREE 120CM,251.5,11.333333333333334,7.023769168568492,0.3840830449826988,intermittent,B_A
BLACK CHRISTMAS TREE 60CM,425.0,12.0,8.48528137423857,0.4999999999999999,lumpy,C_B
BLACK KITCHEN SCALES,57.5,5.545454545454546,4.457883721310738,0.6462241332975006,lumpy,B_A
BLACK PIRATE TREASURE CHEST,75.5,12.0,0.0,0.0,intermittent,B_B
BLACK RECORD COVER FRAME,104.5,8.0,7.302967433402215,0.8333333333333334,lumpy,B_A
BLACK RETRODISC LAMPSHADE,48.666666666666664,91.25,134.5,2.172595233627322,lumpy,A_A
BLACK/BLUE POLKADOT UMBRELLA,25.0,8.333333333333334,14.908051515875574,3.2003999999999992,lumpy,B_A
BLOSSOM IMAGES GIFT WRAP SET,211.0,10.5,3.0,0.08163265306122448,intermittent,B_C
BLUE  SPOTTY  COFFEE MUG,43.4,6.0,0.0,0.0,intermittent,B_B
BLUE  SPOTTY CUP,9.807692307692308,11.25925925925926,8.0793782728842,0.5149158320903474,lumpy,A_A
BLUE  SPOTTY EGG CUP ,20.0,12.0,0.0,0.0,intermittent,B_C
BLUE  SPOTTY PLATE ,18.214285714285715,11.733333333333333,8.480790619028953,0.5224321133412041,lumpy,A_A
BLUE  SPOTTY PUDDING BOWL,47.0,7.5,3.0,0.16000000000000003,intermittent,B_B
BLUE  TILE HOOK,107.33333333333333,8.0,0.0,0.0,intermittent,B_B
BLUE 3 PIECE MINI DOTS CUTLERY SET,16.941176470588236,7.333333333333333,4.392506988845757,0.3587749149246476,intermittent,A_A
BLUE 3 PIECE POLKADOT CUTLERY SET,22.6,6.0,0.0,0.0,intermittent,B_B
BLUE COAT RACK PARIS FASHION,90.75,4.2,1.6431676725154984,0.15306122448979592,intermittent,C_B
BLUE DINER WALL CLOCK,89.0,6.0,4.242640687119285,0.4999999999999999,lumpy,B_A
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,39.0,12.0,0.0,0.0,intermittent,B_B
BLUE EGG  SPOON,70.5,24.0,0.0,0.0,intermittent,B_C
BLUE FELT EASTER EGG BASKET,207.5,6.0,0.0,0.0,intermittent,C_C
BLUE FLYING SINGING CANARY,27.333333333333332,4.0,0.0,0.0,intermittent,C_B
BLUE HAPPY BIRTHDAY BUNTING,33.3,8.095238095238095,8.797185697169077,1.1809411764705882,lumpy,A_A
BLUE HARMONICA IN BOX ,20.892857142857142,19.448275862068964,26.72022536113335,1.8876349996766482,lumpy,A_A
BLUE KNITTED EGG COSY,226.0,8.0,3.4641016151377544,0.18749999999999997,intermittent,C_C
BLUE OWL SOFT TOY,27.0625,9.176470588235293,10.199480955651904,1.2353920118343196,lumpy,A_A
BLUE PADDED SOFT MOBILE,21.818181818181817,5.5,4.210376791603422,0.5860255447032305,lumpy,B_A
BLUE PAISLEY JOURNAL ,98.5,26.571428571428573,23.71256448142449,0.7963926465487339,lumpy,A_A
BLUE PAISLEY POCKET BOOK,197.0,75.0,110.58028757423268,2.1738666666666666,lumpy,A_A
BLUE PAISLEY SKETCHBOOK,173.5,13.333333333333334,16.165807537309522,1.4700000000000002,lumpy,B_B
BLUE PAPER PARASOL ,133.0,6.0,0.0,0.0,intermittent,C_B
BLUE PARTY BAGS ,67.83333333333333,5.714285714285714,2.4299715851758235,0.1808333333333333,intermittent,B_B
BLUE POLKADOT BEAKER ,25.333333333333332,48.0,0.0,0.0,intermittent,A_B
BLUE POLKADOT BOWL,24.307692307692307,11.142857142857142,5.4752188977265535,0.24144034794922367,intermittent,A_A
BLUE POLKADOT COFFEE MUG,6.0,48.0,0.0,0.0,intermittent,A_C
BLUE POLKADOT CUP,19.0,11.73913043478261,7.343626743982887,0.39133557800224456,intermittent,A_A
BLUE POLKADOT KIDS BAG,122.75,12.0,0.0,0.0,intermittent,B_B
BLUE POLKADOT LUGGAGE TAG ,14.0,12.0,0.0,0.0,intermittent,C_C
BLUE POLKADOT PLATE ,25.23076923076923,11.142857142857142,5.475218897726554,0.24144034794922378,intermittent,A_A
BLUE POLKADOT WRAP,42.5,39.285714285714285,37.79644730092272,0.9256198347107438,lumpy,A_B
BLUE PUDDING SPOON,514.0,18.0,8.48528137423857,0.22222222222222215,intermittent,B_C
BLUE REFECTORY CLOCK ,54.5,2.0,0.0,0.0,intermittent,C_B
BLUE ROSE FABRIC MIRROR,247.0,12.0,0.0,0.0,intermittent,C_C
BLUE SCANDINAVIAN PAISLEY WRAP,285.0,25.0,0.0,0.0,intermittent,B_C
BLUE SPOT CERAMIC DRAWER KNOB,29.73913043478261,12.5,2.449489742783178,0.03839999999999999,intermittent,A_A
BLUE SPOTS  WRAP,32.333333333333336,28.571428571428573,9.44911182523068,0.10937499999999997,intermittent,A_B
BLUE SPOTTY BEAKER ,78.5,6.0,0.0,0.0,intermittent,C_C
BLUE SPOTTY BOWL,13.5,10.666666666666666,4.618802153517007,0.18750000000000008,intermittent,A_A
BLUE SPOTTY LUGGAGE TAG ,107.5,12.0,0.0,0.0,intermittent,B_B
BLUE SPOTTY PURSE ,25.0,6.0,0.0,0.0,intermittent,C_C
BLUE STRIPE CERAMIC DRAWER KNOB,26.48148148148148,12.428571428571429,2.2677868380553634,0.03329369797859691,intermittent,A_A
BLUE TEA TOWEL CLASSIC DESIGN,103.0,9.5,5.0,0.27700831024930744,intermittent,B_B
BLUE VINTAGE SPOT BEAKER,8.916666666666666,10.461538461538462,5.043401375648922,0.2324106113033449,intermittent,A_B
BOHEMIAN COLLAGE STATIONERY SET,141.5,10.0,3.4641016151377544,0.12,intermittent,B_B
BOOM BOX SPEAKER BOYS,286.0,3.0,1.4142135623730951,0.22222222222222227,intermittent,C_C
BOTANICAL LAVENDER BIRTHDAY CARD,657.0,12.0,0.0,0.0,intermittent,C_C
BOTANICAL LAVENDER GIFT WRAP ,64.0,25.0,0.0,0.0,intermittent,B_C
BOTANICAL LILY GREETING CARD,160.75,14.4,5.366563145999495,0.1388888888888889,intermittent,B_C
BOTANICAL ROSE GIFT WRAP,123.33333333333333,25.0,0.0,0.0,intermittent,A_B
BOTANICAL ROSE GREETING CARD,74.0,16.0,6.928203230275509,0.18749999999999997,intermittent,B_C
BOTTLE BAG RETROSPOT ,99.16666666666667,15.0,16.583123951777,1.2222222222222225,lumpy,A_A
BOX OF 24 COCKTAIL PARASOLS,41.64705882352941,33.333333333333336,24.253562503633297,0.5294117647058824,lumpy,A_A
BOX OF 6 CHRISTMAS CAKE DECORATIONS,29.0,6.0,2.8284271247461903,0.22222222222222227,intermittent,C_B
BOX OF 6 MINI 50'S CRACKERS,16.11111111111111,24.6,30.258882993263317,1.5129883006147133,lumpy,A_A
BOX OF 6 MINI VINTAGE CRACKERS,32.75,10.8,7.8230428862431785,0.5246913580246912,lumpy,B_B
BOX OF VINTAGE ALPHABET BLOCKS,144.66666666666666,13.5,22.999999999999996,2.902606310013717,lumpy,B_A
BOYS ALPHABET IRON ON PATCHES,264.5,288.0,0.0,0.0,intermittent,A_A
BOYS VINTAGE TIN SEASIDE BUCKET,67.28571428571429,13.0,8.48528137423857,0.4260355029585798,intermittent,A_A
BREAD BIN DINER STYLE IVORY,30.916666666666668,3.4615384615384617,2.3669736167866557,0.46757201646090524,intermittent,B_A
BREAD BIN DINER STYLE MINT,26.333333333333332,3.9,2.0248456731316584,0.26955950032873105,intermittent,B_A
BREAD BIN DINER STYLE PINK,128.5,3.6666666666666665,2.5166114784235836,0.4710743801652894,intermittent,C_A
BREAD BIN DINER STYLE RED ,53.857142857142854,2.5,1.4142135623730951,0.32,intermittent,C_A
BRIGHT BLUES RIBBONS ,31.666666666666668,13.75,5.458937625582473,0.1576198347107438,intermittent,A_A
BROCADE RING PURSE ,108.33333333333333,36.0,0.0,0.0,intermittent,A_B
BROCANTE COAT RACK,33.833333333333336,3.2857142857142856,1.704336206492693,0.26906112161310636,intermittent,C_A
BROCANTE SHELF WITH HOOKS,50.0,2.0,0.0,0.0,intermittent,C_B
BROWN  PIRATE TREASURE CHEST ,50.0,12.0,0.0,0.0,intermittent,C_B
BUFFALO BILL TREASURE BOOK BOX,22.0,8.0,0.0,0.0,intermittent,C_C
BULL DOG BOTTLE OPENER,73.0,14.666666666666666,18.475208614068027,1.586776859504133,lumpy,B_A
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,21.857142857142858,13.5,4.242640687119285,0.09876543209876541,intermittent,A_A
BUNDLE OF 3 RETRO NOTE BOOKS,26.666666666666668,12.0,0.0,0.0,intermittent,A_B
BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,21.0,12.0,0.0,0.0,intermittent,A_B
BUNNY WOODEN PAINTED WITH BIRD ,365.0,12.0,0.0,0.0,intermittent,C_C
BUTTERFLIES  HONEYCOMB GARLAND,84.0,12.0,0.0,0.0,intermittent,C_B
BUTTERFLIES STICKERS,159.66666666666666,12.0,0.0,0.0,intermittent,B_B
CABIN BAG VINTAGE PAISLEY,136.66666666666666,7.0,5.773502691896258,0.6802721088435375,lumpy,B_A
CABIN BAG VINTAGE RETROSPOT,56.8,4.818181818181818,7.096734204099542,2.169455322178711,lumpy,B_A
CACTI T-LIGHT CANDLES,27.0,24.0,11.313708498984761,0.22222222222222227,intermittent,B_C
CAKE PLATE LOVEBIRD PINK,104.33333333333333,3.75,1.5,0.16000000000000003,intermittent,C_B
CAKE PLATE LOVEBIRD WHITE,64.2,4.0,1.5491933384829668,0.15000000000000002,intermittent,C_B
CAKE STAND 3 TIER MAGIC GARDEN,42.4375,4.411764705882353,4.302017310655138,0.9508666666666665,lumpy,B_A
CAKE STAND LACE WHITE,55.4,3.0,0.0,0.0,intermittent,C_B
CAKE STAND LOVEBIRD 2 TIER PINK,78.25,2.4,0.8944271909999159,0.1388888888888889,intermittent,C_B
CAKE STAND LOVEBIRD 2 TIER WHITE,64.5,3.8,4.604345773288535,1.4681440443213296,lumpy,C_A
CAKE STAND WHITE TWO TIER LACE,56.916666666666664,3.3846153846153846,2.9871519752227074,0.7789256198347106,lumpy,B_A
CAKES AND BOWS GIFT  TAPE,72.11111111111111,16.8,6.196773353931867,0.1360544217687075,intermittent,A_B
CAKES AND RABBITS DESIGN FLANNEL ,227.0,18.0,8.48528137423857,0.22222222222222215,intermittent,B_C
CALENDAR PAPER CUT DESIGN,88.66666666666667,12.0,12.0,1.0,lumpy,B_A
CANDY SHOP  STICKER SHEET,109.5,12.0,0.0,0.0,intermittent,B_C
CANDY SPOT EGG WARMER HARE,109.5,19.2,16.099689437998485,0.7031250000000001,lumpy,A_B
CANDY SPOT EGG WARMER RABBIT,80.0,30.0,25.45584412271571,0.72,lumpy,B_C
CARAVAN SQUARE TISSUE BOX,308.0,11.0,1.4142135623730951,0.016528925619834715,intermittent,C_C
CARD BIRTHDAY COWBOY,122.0,12.0,0.0,0.0,intermittent,B_C
CARD CAT AND TREE ,136.33333333333334,12.0,0.0,0.0,intermittent,B_C
CARD CHRISTMAS VILLAGE,93.0,21.6,5.366563145999495,0.06172839506172839,intermittent,A_B
CARD CIRCUS PARADE,17.535714285714285,12.0,0.0,0.0,intermittent,A_A
CARD DOG AND BALL ,383.0,12.0,0.0,0.0,intermittent,C_C
CARD DOLLY GIRL ,101.5,12.0,0.0,0.0,intermittent,B_C
CARD GINGHAM ROSE ,81.0,14.4,5.366563145999495,0.1388888888888889,intermittent,B_C
CARD MOTORBIKE SANTA,89.75,14.4,5.366563145999495,0.1388888888888889,intermittent,B_C
CARD PARTY GAMES ,54.857142857142854,12.0,0.0,0.0,intermittent,A_B
CARD PSYCHEDELIC APPLES,48.0,13.333333333333334,4.0,0.09,intermittent,A_B
CARD SUKI BIRTHDAY,72.25,12.0,0.0,0.0,intermittent,B_C
