Customer ID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,overall_score,ltv,cluster_id,ltv_segment
12534.0,131,1,204.20999999999998,1,1,2,4,204.20999999999998,0,Low_ltv
12559.0,320,1,112.3,1,1,1,3,112.3,0,Low_ltv
12560.0,5,2,381.96,3,2,2,7,381.96,0,Low_ltv
12561.0,303,1,36.9,1,1,1,3,36.9,0,Low_ltv
12566.0,86,1,20.4,2,1,1,4,20.4,0,Low_ltv
12568.0,645,1,21.3,1,1,1,3,21.3,0,Low_ltv
12569.0,2,21,602.5600000000001,3,3,3,9,602.5600000000001,2,Mid_ltv
12572.0,9,2,143.4,3,2,2,7,143.4,0,Low_ltv
12580.0,247,2,109.0,1,2,1,4,109.0,0,Low_ltv
12581.0,40,1,46.050000000000004,2,1,1,4,46.050000000000004,0,Low_ltv
12585.0,234,2,454.15,1,2,2,5,454.15,0,Low_ltv
12590.0,211,1,1192.7,1,1,3,5,1192.7,2,Mid_ltv
12592.0,213,3,309.86,1,2,2,5,309.86,0,Low_ltv
12595.0,505,1,68.28,1,1,1,3,68.28,0,Low_ltv
12600.0,29,14,796.1400000000001,2,3,3,8,796.1400000000001,2,Mid_ltv
12601.0,204,4,201.95,1,2,2,5,201.95,0,Low_ltv
12603.0,22,1,613.1999999999999,3,1,3,7,613.1999999999999,2,Mid_ltv
12605.0,376,3,186.0,1,2,2,5,186.0,0,Low_ltv
12609.0,78,8,580.86,2,3,3,8,580.86,2,Mid_ltv
12612.0,74,1,85.44000000000001,2,1,1,4,85.44000000000001,0,Low_ltv
12613.0,57,9,1114.26,2,3,3,8,1114.26,2,Mid_ltv
12614.0,278,1,144.35,1,1,2,4,144.35,0,Low_ltv
12619.0,16,7,493.82,3,3,3,9,493.82,0,Low_ltv
12621.0,2,31,3314.14,3,3,3,9,3314.14,1,High_ltv
12622.0,232,1,35.8,1,1,1,3,35.8,0,Low_ltv
12623.0,276,7,707.35,1,3,3,7,707.35,2,Mid_ltv
12625.0,212,4,925.76,1,2,3,6,925.76,2,Mid_ltv
12626.0,23,9,1072.87,2,3,3,8,1072.87,2,Mid_ltv
12627.0,11,6,501.52000000000004,3,3,3,9,501.52000000000004,0,Low_ltv
12628.0,4,3,171.15,3,2,2,7,171.15,0,Low_ltv
12632.0,521,2,218.4,1,2,2,5,218.4,0,Low_ltv
12633.0,59,7,823.04,2,3,3,8,823.04,2,Mid_ltv
12635.0,90,4,436.21,2,2,2,6,436.21,0,Low_ltv
12642.0,25,2,130.22,2,2,1,5,130.22,0,Low_ltv
12644.0,130,4,270.24,1,2,2,5,270.24,0,Low_ltv
12645.0,33,8,206.57999999999998,2,3,2,7,206.57999999999998,0,Low_ltv
12647.0,22,27,2817.47,3,3,3,9,2817.47,1,High_ltv
12648.0,155,3,125.94999999999999,1,2,1,4,125.94999999999999,0,Low_ltv
12649.0,107,6,356.15999999999997,1,3,2,6,356.15999999999997,0,Low_ltv
12652.0,434,1,14.850000000000001,1,1,1,3,14.850000000000001,0,Low_ltv
12654.0,11,5,111.75,3,3,1,7,111.75,0,Low_ltv
12658.0,19,1,87.9,3,1,1,5,87.9,0,Low_ltv
12662.0,1,19,1392.19,3,3,3,9,1392.19,2,Mid_ltv
12663.0,668,1,42.75,1,1,1,3,42.75,0,Low_ltv
12665.0,418,2,40.8,1,2,1,4,40.8,0,Low_ltv
12668.0,12,9,1848.56,3,3,3,9,1848.56,1,High_ltv
12671.0,606,1,637.0,1,1,3,5,637.0,2,Mid_ltv
12673.0,5,3,194.85,3,2,2,7,194.85,0,Low_ltv
12693.0,212,5,244.26,1,3,2,6,244.26,0,Low_ltv
12698.0,590,1,13.2,1,1,1,3,13.2,0,Low_ltv
12699.0,418,1,74.64,1,1,1,3,74.64,0,Low_ltv
12701.0,80,6,395.35,2,3,2,7,395.35,0,Low_ltv
12702.0,20,1,36.8,3,1,1,5,36.8,0,Low_ltv
12703.0,71,3,169.25,2,2,2,6,169.25,0,Low_ltv
12705.0,15,13,2024.17,3,3,3,9,2024.17,1,High_ltv
12708.0,32,15,826.4399999999999,2,3,3,8,826.4399999999999,2,Mid_ltv
12710.0,97,3,140.05,2,2,1,5,140.05,0,Low_ltv
12711.0,612,2,169.20000000000002,1,2,2,5,169.20000000000002,0,Low_ltv
12712.0,29,19,1373.01,2,3,3,8,1373.01,2,Mid_ltv
12713.0,1,1,598.85,3,1,3,7,598.85,2,Mid_ltv
12720.0,3,24,1139.47,3,3,3,9,1139.47,2,Mid_ltv
12730.0,521,1,215.2,1,1,2,4,215.2,0,Low_ltv
13810.0,29,2,131.49,2,2,1,5,131.49,0,Low_ltv
13811.0,239,1,82.5,1,1,1,3,82.5,0,Low_ltv
13812.0,42,3,148.10000000000002,2,2,2,6,148.10000000000002,0,Low_ltv
13813.0,40,7,385.82,2,3,2,7,385.82,0,Low_ltv
13814.0,92,3,470.3,2,2,2,6,470.3,0,Low_ltv
13815.0,22,8,1029.91,3,3,3,9,1029.91,2,Mid_ltv
13816.0,24,2,47.3,2,2,1,5,47.3,0,Low_ltv
13817.0,29,2,54.0,2,2,1,5,54.0,0,Low_ltv
14335.0,16,2,108.73,3,2,1,6,108.73,0,Low_ltv
