Description,availability,no_suppliers,standard,price_fluctuation,total_qty,total_spend,primary_supplier,risk_index,category
Jumbo Bag Alphabet,0.3739130434782609,0.0,0.0,0.1,2302,3202.53,Metro Wholesale,0.4739130434782609,Leverage
Feltcraft Doll Molly,0.21962616822429906,0.0,0.09345794392523364,0.27102803738317754,1856,3195.6112,Apex Merchants,0.5841121495327102,Leverage
Red Retrospot Traditional Teapot,0.38839285714285715,0.0,0.11607142857142858,0.23214285714285715,717,3179.5834,Prime Supply Partners,0.7366071428571428,Leverage
Doormat New England,0.12142857142857143,0.0,0.24285714285714285,0.0,752,3118.6908000000003,Metro Wholesale,0.36428571428571427,Leverage
Jam Making With Jars,0.36666666666666664,0.0,0.10740740740740741,0.1259259259259259,1290,3095.8264,Global Goods Ltd.,0.6,Leverage
Doormat Spotty Home Sweet Home,0.15357142857142858,0.0,0.16428571428571428,0.18214285714285713,639,3055.3793,Evergreen Supply,0.5,Leverage
Jumbo Bag Owls,0.0,0.0,0.16906474820143885,0.5,2426,3007.6548,Evergreen Supply,0.6690647482014389,Leverage
Grand Chocolatecandle,0.0,0.0,0.11382113821138211,0.35772357723577236,3950,2980.473,Global Goods Ltd.,0.4715447154471545,Leverage
Recycling Bag Retrospot,0.0,0.0,0.0,0.3357142857142857,2328,2959.1038,Global Goods Ltd.,0.3357142857142857,Leverage
Set/4 White Retro Storage Cubes,0.3695652173913043,0.0,0.0,0.13043478260869565,124,2923.0718,Summit Procurement,0.5,Leverage
Chocolate Hot Water Bottle,0.2571428571428571,0.0,0.0,0.10714285714285714,935,2908.6555,Northstar Trading,0.36428571428571427,Leverage
Classic Metal Birdcage Plant Holder,0.3153846153846154,0.0,0.0,0.0,456,2906.3552,Apex Merchants,0.3153846153846154,Leverage
Jumbo Bag Pink Polkadot,0.2642857142857143,0.0,0.25,0.39285714285714285,2461,2904.6494,Global Goods Ltd.,0.907142857142857,Strategic
Cream Sweetheart Mini Chest,0.26639344262295084,0.0,0.0,0.0,357,2890.8243,Reliable Imports,0.26639344262295084,Leverage
Paper Chain Kit Vintage Christmas,0.5,0.0,0.2357142857142857,0.5,2001,2888.0665000000004,Apex Merchants,1.2357142857142858,Strategic
No Singing Metal Sign,0.10714285714285714,0.0,0.0,0.25,2190,2883.4944,Prime Supply Partners,0.35714285714285715,Leverage
Round Snack Boxes Fruits,0.0,0.0,0.13214285714285715,0.24642857142857144,1671,2880.3084,Apex Merchants,0.37857142857142856,Leverage
Small Popcorn Holder,0.11785714285714285,0.0,0.0,0.275,6186,2839.8062,Northstar Trading,0.3928571428571429,Leverage
Natural Slate Chalkboard Large,0.15053763440860216,0.0,0.0,0.5,1177,2833.1423,Northstar Trading,0.6505376344086021,Leverage
Pantry Chopping Board,0.25,0.5,0.25,0.25,853,2831.1668999999997,Northstar Trading,1.25,Strategic
Vintage Blue Kitchen Cabinet,0.0,0.5,0.2857142857142857,0.0,23,2825.35,Evergreen Supply,0.7857142857142857,Leverage
Red Hanging Heart T-Light Holder,0.38571428571428573,0.0,0.25,0.5,1505,2824.1627000000003,Gulf Source Co.,1.1357142857142857,Strategic
Egg House Painted Wood,0.09659090909090909,0.19318181818181818,0.07954545454545454,0.4034090909090909,549,2814.2861000000003,Prime Supply Partners,0.7727272727272727,Leverage
Spaceboy Lunch Box,0.0,0.0,0.24285714285714285,0.35,2159,2762.6579,Evergreen Supply,0.5928571428571429,Leverage
Red Spotty Round Cake Tins,0.08974358974358974,0.0,0.14957264957264957,0.14957264957264957,414,2760.9126,Prime Supply Partners,0.38888888888888884,Leverage
Rustic Seventeen Drawer Sideboard,0.0,0.5,0.0,0.5,27,2756.61,Metro Wholesale,1.0,Strategic
Victorian Glass Hanging T-Light,0.5,0.0,0.12142857142857143,0.5,3584,2741.3754,Apex Merchants,1.1214285714285714,Strategic
Hot Water Bottle Keep Calm,0.39545454545454545,0.0,0.25,0.1318181818181818,1032,2739.2904000000003,Prime Supply Partners,0.7772727272727273,Leverage
Doormat Keep Calm And Come In,0.15,0.0,0.15,0.375,579,2704.4629999999997,Global Goods Ltd.,0.675,Leverage
Red Woolly Hottie White Heart,0.26071428571428573,0.0,0.0,0.5,1253,2681.7219,Gulf Source Co.,0.7607142857142857,Leverage
Jumbo Bag Pink Vintage Paisley,0.0,0.0,0.0,0.14642857142857144,2790,2653.0271,Apex Merchants,0.14642857142857144,Leverage
Lunch Box I Love London,0.0,0.0,0.0,0.3865546218487395,2171,2650.8204,Prime Supply Partners,0.3865546218487395,Leverage
Doormat Fairy Cake,0.21875,0.0,0.28125,0.21428571428571427,650,2645.4527,Global Goods Ltd.,0.7142857142857143,Leverage
Knitted Union Flag Hot Water Bottle,0.5,0.0,0.0,0.3803418803418803,1171,2637.2848,Summit Procurement,0.8803418803418803,Strategic
Wood S/3 Cabinet Ant White Finish,0.09285714285714286,0.0,0.275,0.11071428571428571,525,2632.2484,Gulf Source Co.,0.4785714285714286,Leverage
Picnic Basket Wicker Small,0.0,0.0,0.13736263736263737,0.25824175824175827,599,2620.9158,Global Goods Ltd.,0.39560439560439564,Leverage
Dolly Girl Lunch Box,0.38571428571428573,0.0,0.1,0.38571428571428573,2266,2597.1304,Apex Merchants,0.8714285714285714,Strategic
Ceramic Cake Stand + Hanging Cakes,0.2463768115942029,0.0,0.0,0.2536231884057971,417,2593.9464,Summit Procurement,0.5,Leverage
Retrospot Tea Ceramic,0.225,0.0,0.0,0.26071428571428573,840,2575.1936,Apex Merchants,0.48571428571428577,Leverage
Doormat Respectable House,0.275,0.0,0.10833333333333334,0.10833333333333334,707,2567.8611,Global Goods Ltd.,0.4916666666666667,Leverage
Christmas Lights Reindeer,0.5,0.0,0.0,0.5,686,2561.567,Summit Procurement,1.0,Strategic
Cake Tins Pantry,0.11071428571428571,0.0,0.5,0.11071428571428571,775,2561.157,Metro Wholesale,0.7214285714285715,Leverage
Paper Chain Kit Retrospot,0.0,0.0,0.125,0.2392857142857143,1650,2557.6668,Metro Wholesale,0.3642857142857143,Leverage
Red Retrospot Mini Cases,0.21153846153846154,0.0,0.1076923076923077,0.13076923076923078,509,2550.5924,Summit Procurement,0.44999999999999996,Leverage
World War Gliders Asstd,0.12318840579710146,0.0,0.11231884057971014,0.15217391304347827,18802,2529.2624,Northstar Trading,0.38768115942028986,Leverage
Paper Chain Kit Empire,0.11214953271028037,0.0,0.0,0.397196261682243,1684,2514.1288,Gulf Source Co.,0.5093457943925234,Leverage
Antique Silver Tea Glass Etched,0.26785714285714285,0.0,0.25,0.37857142857142856,3194,2495.5272,ValueLink Distribution,0.8964285714285714,Strategic
Roses Regency Teacup And Saucer,0.2392857142857143,0.0,0.24285714285714285,0.0,1430,2490.6396,Northstar Trading,0.48214285714285715,Leverage
Jumbo Bag Vintage Doily,0.11428571428571428,0.0,0.2357142857142857,0.0,1940,2478.334,Reliable Imports,0.35,Leverage
Vintage Post Office Cabinet,0.34782608695652173,0.5,0.0,0.0,63,2477.5641,Apex Merchants,0.8478260869565217,Strategic
Alarm Clock Bakelike Green,0.24642857142857144,0.0,0.0,0.11785714285714285,1080,2475.5699999999997,Global Goods Ltd.,0.3642857142857143,Leverage
Rotating Silver Angels T-Light Hldr,0.18023255813953487,0.0,0.0,0.3372093023255814,1587,2473.6088999999997,Apex Merchants,0.5174418604651163,Leverage
Black/Blue Polkadot Umbrella,0.35714285714285715,0.0,0.11224489795918367,0.0,987,2458.6445,Summit Procurement,0.46938775510204084,Leverage
Box Vintage Alphabet Blocks,0.16463414634146342,0.0,0.21951219512195122,0.11585365853658537,419,2453.0705,Evergreen Supply,0.5,Leverage
Landmark Frame London Bridge,0.2608695652173913,0.5,0.5,0.0,340,2445.1099999999997,Global Goods Ltd.,1.2608695652173914,Strategic
Hot Water Bottle Tea And Sympathy,0.5,0.0,0.35714285714285715,0.18928571428571428,1106,2444.9691000000003,Reliable Imports,1.0464285714285715,Strategic
Feltcraft Cushion Butterfly,0.10952380952380952,0.0,0.10952380952380952,0.3523809523809524,1045,2436.4,Gulf Source Co.,0.5714285714285714,Leverage
Frying Pan Union Flag,0.2413793103448276,0.0,0.2672413793103448,0.0,922,2428.1074,Apex Merchants,0.5086206896551724,Leverage
Two Door Curio Cabinet,0.5,0.0,0.07317073170731707,0.1951219512195122,345,2415.4026000000003,Summit Procurement,0.7682926829268293,Leverage
Doormat Welcome Puppies,0.5,0.0,0.23118279569892472,0.12903225806451613,692,2400.6837,ValueLink Distribution,0.8602150537634409,Strategic
Tea Time Cake Stand In Gift,0.125,0.0,0.125,0.14473684210526316,317,2380.4978,Northstar Trading,0.39473684210526316,Leverage
Suki Tissues,0.3630952380952381,0.0,0.0,0.2857142857142857,13700,2376.8481,Gulf Source Co.,0.6488095238095237,Leverage
Piggy Bank Retrospot,0.31875,0.0,0.05625,0.16875,1455,2373.7229,Summit Procurement,0.54375,Leverage
Doormat English Rose,0.24561403508771928,0.0,0.35526315789473684,0.35526315789473684,522,2373.4954,Gulf Source Co.,0.956140350877193,Strategic
Hearts Hanging Decoration Rustic,0.395,0.0,0.0,0.245,1396,2367.1816,Apex Merchants,0.64,Leverage
Hanging Jam Jar T-Light Holder,0.11654135338345864,0.0,0.11278195488721804,0.38345864661654133,4766,2360.1564,Apex Merchants,0.612781954887218,Leverage
Doormat Union Jack Guns And Roses,0.35714285714285715,0.0,0.0,0.14285714285714285,647,2321.6517,Evergreen Supply,0.5,Leverage
Botanical Gardens Wall Clock,0.5,0.5,0.5,0.0,168,2318.904,ValueLink Distribution,1.5,Strategic
Please One Person Metal Sign,0.0,0.0,0.09642857142857143,0.11785714285714285,1990,2318.475,ValueLink Distribution,0.2142857142857143,Leverage
Regency Cake Tins,0.4027777777777778,0.0,0.2175925925925926,0.4027777777777778,710,2316.1814,ValueLink Distribution,1.0231481481481481,Strategic
Jumbo Storage Bag Skulls,0.5,0.0,0.175,0.5,1861,2307.8762,Apex Merchants,1.175,Strategic
Wall Art Keep Calm,0.0,0.5,0.21428571428571427,0.21428571428571427,766,2305.2822,Northstar Trading,0.9285714285714286,Strategic
Jumbo Storage Bag Suki,0.21785714285714286,0.0,0.2357142857142857,0.0,2002,2297.0808,Summit Procurement,0.45357142857142857,Leverage
Small Chinese Style Scissor,0.0,0.5,0.30357142857142855,0.19642857142857142,10967,2280.6067000000003,Northstar Trading,1.0,Strategic
Jumbo Bag Apples,0.1651376146788991,0.0,0.0,0.1834862385321101,1648,2273.0502,Metro Wholesale,0.3486238532110092,Leverage
French Blue Metal Door Sign,0.32222222222222224,0.06111111111111111,0.13472222222222222,0.22777777777777777,2886,2268.1121,Northstar Trading,0.7458333333333333,Leverage
Cake Stand Lovebird Tier Pink,0.5,0.0,0.0,0.0,504,2266.7718,Global Goods Ltd.,0.5,Leverage
Pink Cream Felt Craft Trinket Box,0.12857142857142856,0.0,0.1357142857142857,0.12857142857142856,2813,2257.7004,Metro Wholesale,0.3928571428571428,Leverage
Mini Paint Vintage,0.0,0.0,0.1326530612244898,0.25510204081632654,6517,2249.9183,Northstar Trading,0.3877551020408163,Leverage
Doormat Topiary,0.22151898734177214,0.0,0.06329113924050633,0.27848101265822783,651,2247.0926,Global Goods Ltd.,0.5632911392405062,Leverage
Gin + Tonic Diet Metal Sign,0.2857142857142857,0.0,0.375,0.16071428571428573,1784,2244.6597,Reliable Imports,0.8214285714285714,Strategic
Plasters In Tin Woodland Animals,0.0,0.0,0.1392857142857143,0.2642857142857143,1968,2244.2304,Reliable Imports,0.4035714285714286,Leverage
Tea Time Kitchen Apron,0.5,0.0,0.0,0.5,603,2230.7987,Gulf Source Co.,1.0,Strategic
Grow A Flytrap Or Sunflower In,0.17647058823529413,0.0,0.14705882352941177,0.17647058823529413,2670,2212.107,Evergreen Supply,0.5,Leverage
Jumbo Bag Toys,0.3446601941747573,0.0,0.23300970873786409,0.23300970873786409,1905,2198.1875,Reliable Imports,0.8106796116504854,Strategic
Ivory Kitchen Scales,0.5,0.0,0.23214285714285715,0.3892857142857143,391,2188.0904,Evergreen Supply,1.1214285714285714,Strategic
Colour Mini Cases,0.38181818181818183,0.0,0.12727272727272726,0.12727272727272726,454,2183.5568,ValueLink Distribution,0.6363636363636362,Leverage
Hand Warmer Scotty Dog,0.5,0.0,0.0,0.0,1887,2183.343,Reliable Imports,0.5,Leverage
Polkadot Cutlery In Tray,0.5,0.5,0.0,0.0,300,2173.026,Apex Merchants,1.0,Strategic
Lunch Bag Black Skull,0.15,0.0,0.12857142857142856,0.12857142857142856,1985,2171.749,Reliable Imports,0.40714285714285714,Leverage
Feltcraft Cushion Rabbit,0.12980769230769232,0.0,0.22115384615384615,0.40865384615384615,975,2162.42,Northstar Trading,0.7596153846153846,Leverage
Large Zinc Heart Wall Organiser,0.0,0.5,0.0,0.0,541,2162.0771,Northstar Trading,0.5,Leverage
Home Sweet Home Mug,0.28,0.0,0.135,0.11,2796,2160.5499999999997,ValueLink Distribution,0.525,Leverage
Coloured Flying Ducks,0.5,0.5,0.0,0.5,683,2139.7831,ValueLink Distribution,1.5,Strategic
Hand Over The Chocolate Sign,0.22142857142857142,0.0,0.20714285714285716,0.2785714285714286,1741,2138.1023,Reliable Imports,0.7071428571428572,Leverage
Natural Slate Heart Chalkboard,0.12857142857142856,0.0,0.12857142857142856,0.24642857142857144,1226,2124.6441,Summit Procurement,0.5035714285714286,Leverage
Green Regency Teacup And Saucer,0.35714285714285715,0.0,0.14285714285714285,0.14285714285714285,1165,2111.7192999999997,Prime Supply Partners,0.6428571428571428,Leverage
Wooden Frame Antique White,0.24642857142857144,0.0,0.25,0.125,1149,2092.9335,Global Goods Ltd.,0.6214285714285714,Leverage
Wooden Croquet Garden,0.5,0.0,0.4127906976744186,0.0,244,2091.3724,Evergreen Supply,0.9127906976744187,Strategic
Recipe Box Pantry Yellow,0.12857142857142856,0.0,0.10714285714285714,0.1,1090,2085.82,Global Goods Ltd.,0.33571428571428574,Leverage
Heart Wicker Large,0.12142857142857143,0.0,0.26071428571428573,0.0,1201,2085.118,Gulf Source Co.,0.3821428571428572,Leverage
Strawberry Ceramic Trinket Box,0.1357142857142857,0.0,0.12142857142857143,0.24642857142857144,2460,2081.0304,Summit Procurement,0.5035714285714286,Leverage
Retrospot Tea Coffee Sugar,0.125,0.0,0.0,0.20238095238095238,653,2074.4211,Metro Wholesale,0.3273809523809524,Leverage
Hanging Heart Jar T-Light Holder,0.5,0.0,0.2357142857142857,0.5,2641,2071.089,Apex Merchants,1.2357142857142858,Strategic
Jumbo Shopper Vintage Red Paisley,0.0,0.0,0.26071428571428573,0.1357142857142857,2054,2068.833,Global Goods Ltd.,0.39642857142857146,Leverage
Alarm Clock Bakelike Pink,0.0,0.0,0.0,0.24152542372881355,964,2068.4494,Reliable Imports,0.24152542372881355,Leverage
Hot Water Bottle I Am So,0.3483606557377049,0.0,0.0,0.10655737704918032,686,2068.1049,Reliable Imports,0.45491803278688525,Leverage
Blue Happy Birthday Bunting,0.5,0.0,0.2653061224489796,0.5,701,2059.4982999999997,Global Goods Ltd.,1.2653061224489797,Strategic
Wicker Oval Baskets W Lids,0.29545454545454547,0.5,0.29545454545454547,0.20454545454545456,262,2043.8874,Apex Merchants,1.2954545454545454,Strategic
Flower Colour Leis,0.5,0.0,0.0,0.14583333333333334,6541,2037.9522,Metro Wholesale,0.6458333333333334,Leverage
Tea Time Tea Towels,0.14492753623188406,0.0,0.0,0.5,1617,2037.8233999999998,Summit Procurement,0.644927536231884,Leverage
Memo Board Cottage,0.0,0.0,0.0,0.38613861386138615,767,2031.2730999999999,Evergreen Supply,0.38613861386138615,Leverage
Empire Rosette,0.26,0.5,0.0,0.24,4051,2027.2032000000002,Reliable Imports,1.0,Strategic
Paper Bunting Retrospot,0.0,0.0,0.16428571428571428,0.18214285714285713,1181,2024.3046,Apex Merchants,0.3464285714285714,Leverage
Doormat Peace On Earth Blue,0.5,0.5,0.5,0.24074074074074073,695,2020.5388999999998,Apex Merchants,1.7407407407407407,Strategic
Wooden Union Jack Bunting,0.15816326530612246,0.0,0.0,0.34183673469387754,477,2014.4882999999998,ValueLink Distribution,0.5,Leverage
Grey Heart Hot Water Bottle,0.15,0.0,0.0,0.18928571428571428,850,2012.5488,ValueLink Distribution,0.3392857142857143,Leverage
Gumball Coat Rack,0.35,0.0,0.15,0.39285714285714285,1345,1997.8624,Reliable Imports,0.8928571428571428,Strategic
Red Retrospot Umbrella,0.37916666666666665,0.0,0.12083333333333333,0.12083333333333333,589,1997.6919,ValueLink Distribution,0.6208333333333333,Leverage
Small Glass Heart Trinket Pot,0.27314814814814814,0.0,0.11574074074074074,0.35185185185185186,1636,1995.1732000000002,Prime Supply Partners,0.7407407407407407,Leverage
Hand Warmer Union Jack,0.112,0.0,0.268,0.256,1529,1987.4399999999998,Gulf Source Co.,0.636,Leverage
Afghan Slipper Sock Pair,0.2,0.5,0.0,0.0,1035,1982.4360000000001,Evergreen Supply,0.7,Leverage
Wood Drawer Cabinet White Finish,0.0,0.0,0.10357142857142858,0.29285714285714287,548,1973.1738,Reliable Imports,0.39642857142857146,Leverage
Glass Jar Digestive Biscuits,0.14444444444444443,0.0,0.14444444444444443,0.35555555555555557,951,1968.721,Apex Merchants,0.6444444444444444,Leverage
Strawberry Lunch Box With Cutlery,0.125,0.0,0.125,0.1357142857142857,1131,1965.5054,Apex Merchants,0.3857142857142857,Leverage
Retrospot Heart Hot Water Bottle,0.0,0.0,0.13214285714285715,0.13214285714285715,717,1964.9206,Reliable Imports,0.2642857142857143,Leverage
Fawn Blue Hot Water Bottle,0.36904761904761907,0.0,0.10714285714285714,0.25396825396825395,1056,1960.9296,Northstar Trading,0.7301587301587302,Leverage
Bag Swirly Marbles,0.09424083769633508,0.0,0.0968586387434555,0.1544502617801047,4620,1955.5318,Evergreen Supply,0.3455497382198953,Leverage
Plasters In Tin Circus Parade,0.14285714285714285,0.0,0.13214285714285715,0.11071428571428571,1750,1952.9022,Apex Merchants,0.38571428571428573,Leverage
Alarm Clock Bakelike Red,0.35714285714285715,0.0,0.14285714285714285,0.40714285714285714,811,1949.4935,Gulf Source Co.,0.9071428571428571,Strategic
Jumbo Bag Spaceboy,0.1357142857142857,0.0,0.225,0.1392857142857143,1427,1944.633,Summit Procurement,0.5,Leverage
Blue Stripe Basket,0.21153846153846154,0.5,0.0,0.5,368,1944.4855000000002,Northstar Trading,1.2115384615384617,Strategic
Love Seat Antique White Metal,0.0,0.5,0.0,0.18181818181818182,31,1942.8500000000001,Reliable Imports,0.6818181818181819,Leverage
Lunch Bag Woodland,0.11071428571428571,0.0,0.0,0.0,1852,1941.9228,Metro Wholesale,0.11071428571428571,Leverage
Victorian Sewing Box Large,0.225,0.0,0.13333333333333333,0.09166666666666666,249,1939.929,ValueLink Distribution,0.45,Leverage
Multi Colour Silver T-Light Holder,0.5,0.0,0.0,0.5,3658,1938.9534,Evergreen Supply,1.0,Strategic
Hook Photo Shelf Antique White,0.23529411764705882,0.0,0.2647058823529412,0.25882352941176473,448,1934.8617,Apex Merchants,0.7588235294117647,Leverage
Plasters In Tin Strongman,0.366412213740458,0.0,0.0,0.3702290076335878,1840,1933.5696,Evergreen Supply,0.7366412213740459,Leverage
Green Mini Dots Cutlery,0.21511627906976744,0.0,0.0,0.08139534883720931,804,1928.4135999999999,Reliable Imports,0.2965116279069767,Leverage
Jam Making Printed,0.2518518518518518,0.0,0.0,0.5,2332,1927.0632,Gulf Source Co.,0.7518518518518518,Leverage
Jumbo Bag Vintage Leaf,0.0,0.0,0.0,0.19915254237288135,1701,1915.225,ValueLink Distribution,0.19915254237288135,Leverage
Scottie Dog Hot Water Bottle,0.275,0.0,0.0,0.275,641,1906.5384000000001,Reliable Imports,0.55,Leverage
Edwardian Parasol Red,0.5,0.0,0.0,0.140625,514,1897.5104000000001,Global Goods Ltd.,0.640625,Leverage
Ladies & Gentlemen Metal Sign,0.11940298507462686,0.0,0.11940298507462686,0.0,1231,1875.8131,Apex Merchants,0.23880597014925373,Leverage
Lunch Bag Apple,0.09923664122137404,0.0,0.0,0.1717557251908397,1638,1874.4402,Apex Merchants,0.27099236641221375,Leverage
Doormat Home Sweet Home Blue,0.2426470588235294,0.0,0.125,0.11764705882352941,498,1856.7884,Reliable Imports,0.4852941176470589,Leverage
Tea Coffee Sugar Tins Pantry,0.36363636363636365,0.0,0.0,0.07575757575757576,569,1840.9722,Apex Merchants,0.4393939393939394,Leverage
Antique Silver Tea Glass Engraved,0.0989010989010989,0.0,0.12087912087912088,0.0,2418,1835.4384,Global Goods Ltd.,0.21978021978021978,Leverage
Homemade Jam Scented Candles,0.24725274725274726,0.0,0.15934065934065933,0.15934065934065933,2196,1832.8152,Northstar Trading,0.5659340659340659,Leverage
Love Building Block Word,0.16071428571428573,0.0,0.09642857142857143,0.11785714285714285,534,1831.1904,Global Goods Ltd.,0.375,Leverage
Set/2 Red Spotty Tea Towels,0.25773195876288657,0.0,0.0,0.25257731958762886,1145,1809.6214,Evergreen Supply,0.5103092783505154,Leverage
Pink Cherry Lights,0.5,0.0,0.0,0.35555555555555557,451,1809.3801,ValueLink Distribution,0.8555555555555556,Strategic
White Cherry Lights,0.5,0.0,0.0,0.2719298245614035,518,1802.077,ValueLink Distribution,0.7719298245614035,Leverage
Hand Warmer Bird,0.26785714285714285,0.0,0.125,0.375,1391,1800.2441,Reliable Imports,0.7678571428571428,Leverage
Pink Regency Teacup And Saucer,0.16810344827586207,0.0,0.0,0.10344827586206896,1066,1792.903,Apex Merchants,0.27155172413793105,Leverage
Home Building Block Word,0.24285714285714285,0.0,0.2785714285714286,0.3464285714285714,479,1782.1111,Northstar Trading,0.8678571428571429,Strategic
Doormat Multicolour Stripe,0.42424242424242425,0.0,0.2196969696969697,0.3106060606060606,410,1777.2247,Global Goods Ltd.,0.9545454545454546,Strategic
